file_id,priority,quality_score,bangla_ratio,ooc_ratio,complexity_score,review_reason
0006b05f-07e1-4af3-b1e0-85cf81ebeb2e,CRITICAL - Filter Out,17,0.00%,100.00%,49.4,CRITICAL: 100.0% OOC tags (9/9 words) - Unusable
0151e564-0045-45e4-bbb8-4cfe610c3ace,CRITICAL - Filter Out,22,0.00%,95.45%,49.0,CRITICAL: 95.5% OOC tags (21/22 words) - Unusable
0165b249-484a-4342-8dfa-4b0b00cc4e15,CRITICAL - Filter Out,22,0.00%,100.00%,45.5,CRITICAL: 100.0% OOC tags (84/84 words) - Unusable
02d4547b-ee6b-484a-a11b-55234dedba58,CRITICAL - Filter Out,22,0.00%,96.36%,47.1,CRITICAL: 96.4% OOC tags (53/55 words) - Unusable
2a9d3781-2e3f-4e4d-90ec-63a99988a588,CRITICAL - Filter Out,12,0.00%,100.00%,55.0,CRITICAL: 100.0% OOC tags (4/4 words) - Unusable
2b60dd1c-ce88-40f2-9e28-50bccdcdb378,CRITICAL - Filter Out,22,4.13%,93.85%,48.0,CRITICAL: 93.8% OOC tags (61/65 words) - Unusable
4713135a-5206-453e-9fb9-ebec5d16f44c,CRITICAL - Filter Out,9,0.00%,100.00%,50.0,CRITICAL: 100.0% OOC tags (8/8 words) - Unusable
482b6e16-f925-4925-8632-dd3e2d73a38a,CRITICAL - Filter Out,22,0.00%,100.00%,48.1,CRITICAL: 100.0% OOC tags (13/13 words) - Unusable
497e5507-35f4-4150-b902-4b2ca4ab9c30,CRITICAL - Filter Out,22,0.00%,98.04%,46.7,CRITICAL: 98.0% OOC tags (50/51 words) - Unusable
4e0eed73-33da-46d1-8670-a07a803ac016,CRITICAL - Filter Out,14,0.00%,100.00%,48.3,CRITICAL: 100.0% OOC tags (12/12 words) - Unusable
4f17930c-64f8-4049-a2f2-ed48bd9d9a36,CRITICAL - Filter Out,22,11.61%,84.21%,53.3,CRITICAL: 84.2% OOC tags (16/19 words) - Unusable
5061c5c4-6a47-4996-94eb-3c44fed8a563,CRITICAL - Filter Out,22,16.35%,77.97%,55.2,CRITICAL: 78.0% OOC tags (46/59 words) - Unusable
51edcbf5-ed91-4c2b-9d87-a4c8720983b8,CRITICAL - Filter Out,12,0.00%,100.00%,51.7,CRITICAL: 100.0% OOC tags (6/6 words) - Unusable
56cad792-6908-4f80-94ca-74f0b7a246bb,CRITICAL - Filter Out,22,0.00%,100.00%,45.8,CRITICAL: 100.0% OOC tags (51/51 words) - Unusable
5a3812a8-125c-4218-aff2-e823557f0875,CRITICAL - Filter Out,22,14.84%,77.78%,52.5,CRITICAL: 77.8% OOC tags (21/27 words) - Unusable
5c3dcbf9-9740-4772-9f1c-d0496e239fbf,CRITICAL - Filter Out,22,17.45%,78.26%,52.4,CRITICAL: 78.3% OOC tags (36/46 words) - Unusable
5e602415-b993-43bd-907b-ad6ddc872756,CRITICAL - Filter Out,22,0.00%,95.45%,48.9,CRITICAL: 95.5% OOC tags (21/22 words) - Unusable
61dcce13-5986-453e-b0fd-1640ff60afa6,CRITICAL - Filter Out,22,17.26%,75.41%,52.9,CRITICAL: 75.4% OOC tags (46/61 words) - Unusable
