key,file_path,snr_vad,unique_words,silence_percentage,Transcript,ElevenLabs,WER,CER
6851db32-23e0-4d7a-ac4e-75de584ea35a,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/6851db32-23e0-4d7a-ac4e-75de584ea35a.flac,37.52593613,8,22.42833052,কাছে তুলে সবাইকে স্বাগত আরো একবার ননস্টপ হিটসে।,সবাইকে অনুরোধ করছি 2023-এর নিউ ইয়ারের জন্য আপনাদের মধ্যে থেকে সর্বোচ্চ ২০ জনকে ২০২৩-এর নিউ ইয়ারের জন্য আমাদের সঙ্গে যুক্ত করার।,2.625,2.191489362
fda504cf-1fa9-4ed8-834c-0039cf6b7bf0,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/fda504cf-1fa9-4ed8-834c-0039cf6b7bf0.flac,32.18935776,1,5.4,<OOC> <OOC> <OOC> <OOC>,إِلَيْهِ بِنَاسٌ وَالْبَحْرِ بِمَا كَسَبَتْ أَيْدِي النَّاسُ صَدَقَ اللهُ الْعَظِيمُ,2.5,3.52173913
ec34b89a-48f6-4f7d-8763-26e630f3facd,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/ec34b89a-48f6-4f7d-8763-26e630f3facd.flac,29.58061409,1,58.0,<OOC> <OOC> <OOC> <OOC> <OOC> <OOC>,يغفر أن يشرك به ويغفر ما دون. ويغفر ما دون ذلك لمن يشاء.,2.166666667,1.457142857
5f15ec8a-70d2-40cf-b641-b6cc8bc13523,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/5f15ec8a-70d2-40cf-b641-b6cc8bc13523.flac,37.1600647,3,33.61312476,"<১৬২৬০,> এই নাম্বারে।",এক ছয় দুই ছয় শূন্য এই নাম্বারে।,1.666666667,0.9523809524
b4e1e226-de93-4890-aeaf-f178e58d63a8,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/b4e1e226-de93-4890-aeaf-f178e58d63a8.flac,25.75410461,1,38.71449925,<OOC> <OOC>,ظهر الفساد في,1.5,1.181818182
9b344d80-e997-4c57-9d10-1b5cfdf235b7,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/9b344d80-e997-4c57-9d10-1b5cfdf235b7.flac,30.61642456,40,10.0,"মন্দিরে দেশ ও জাতির মঙ্গল কামনায় আয়োজন করা হয় গীতা যজ্ঞের। গুরুর ব্রহ্মা, গুরুর বিষ্ণু। ওম গুরু ব্রহ্মা, গুরু বিষ্ণু। আমরা প্রার্থনা করছি যেন দেশ ও জাতি সমৃদ্ধ হয়, সকল সংকট থেকে মুক্ত হয়, এবং সমস্ত দেশের <OOC> মুসলমান, বৌদ্ধ, <OOC> যেন শান্তি লাভ করে। করোনা মহামারির কারণে গত।","দুই হাজার চৌদ্দ এর ২১শে আগস্ট। এত ধারাবাহিকতার পরেও এই, এই নির্যাতনের পরেও আওয়ামী লীগ শুধু একটি রাজনৈতিক দল হিসাবে বেঁচে আছে তা নয়, আওয়ামী লীগ একজন আমি যেটা, যেটা কাশেম দা বললেন যে এটা সম্ভব হয়েছিল বঙ্গবন্ধুর মতো একজন দূরদর্শী নেতৃত্ব পেয়েছিলাম বলে এবং ঠিক আজকের বাস্তবতায় আমরা হাড়ে হাড়ে উপলব্ধি করতে পারছি, এই লিগেসি আমরা শুধু টেনে নিয়ে এসে এখানে থেমে আছিনা। আমরা প্রতিদিন সেটাকে নতুন নতুন মাত্রায় উপনীত করতে পারছি।",1.469387755,1.163701068
0f83ed01-0091-45f4-bc83-bfaa00cadda5,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/0f83ed01-0091-45f4-bc83-bfaa00cadda5.flac,51.70720673,57,3.8,"<২৮৭> টি পরিবারকে জমি সহ আধা পাকা ঘর হস্তান্তর করা হবে। <২১শে> জুলাই প্রধানমন্ত্রী শেখ হাসিনা ভিডিও কনফারেন্সের মাধ্যমে এই কর্মসূচির উদ্বোধন করবেন। প্রধানমন্ত্রীর উদ্বোধনের পরপরই উপকারভোগীদের হাতে জমির দলিল এবং ঘরের চাবি তুলে দেওয়া হবে। কর্মসূচি অনুযায়ী ময়মনসিংহের সদর উপজেলায় <৫৫> টি মুক্তা গাছায়, <৬৩> টি ফুলবাড়িয়ায়, <১৯> টি ত্রিশালে, পাঁচটি গফরগাঁয়ে, <১৫> টি নান্দাইলে, <২১> টি ঈশ্বরগঞ্জে, <৪০> টি গৌরীপুরে, সাতটি ফুলপুরে।","দুই শো সাতাশি টি পরিবারকে জমি সহ আধা পাকা ঘর হস্তান্তর করা হবে। ২১শে জুলাই প্রধানমন্ত্রী শেখ হাসিনা ভিডিও কনফারেন্সের মাধ্যমে এই কর্মসূচির উদ্বোধন করবেন। প্রধানমন্ত্রীর উদ্বোধনের পরপরই উপকর ভোগীদের হাতে জমির দলিল এবং ঘরের চাবি তুলে দেওয়া হবে। কর্মসূচি অনুযায়ী মমিন সিংহের সদর উপজেলায় ৫৫টি, মুক্তা গাছায় ৬৩টি, ফুলবাড়িয়া ১৯টি, ত্রিশালে ৫টি, গফরগাঁওয়ে ১৫টি, নান্দাইলে ২১টি, ঈশ্বরগঞ্জে ৪০টি, গৌরীপুরে ৭টি, ফুলপুরে ৭টি, বালুচরে ৫টি, বালুচর-২ এ ৪টি, বালুচর-৩ এ ৩টি, বালুচর-৪ এ ২টি, বালুচর-৫ এ ২টি, বালুচর-৬ এ ২টি, বালুচর-৭ এ ২টি, বালুচর-৮ এ ২টি, বালুচর-৯ এ ২টি, বালুচর-১০ এ ২টি, বালুচর-১১ এ ২টি, বালুচর-১২ এ ২টি, বালুচর-১৩ এ ২টি, বালুচর-১৪ এ ২টি, বালুচর-১৫ এ ২টি, বালুচর-১৬ এ ২টি, বালুচর-১৭ এ ২টি, বালুচর-১৮ এ ২টি, বালুচর-১৯ এ ২টি, বালুচর-২০ এ ২টি, বালুচর-২১ এ ২টি, বালুচর-২২ এ ২টি, �",1.4375,0.9861751152
4ff68d81-be51-4cdf-aa0b-8cc10b014436,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/4ff68d81-be51-4cdf-aa0b-8cc10b014436.flac,31.34916687,53,8.6,"করবে। শিমা শারমিন, বাংলাদেশ টেলিভিশন। সংস্কৃতি বিষয়ক প্রতিমন্ত্রী কেএম খালিদ বলেছেন, বেদখল হয়ে যাওয়া বিশ্বখ্যাত বিজ্ঞানী আচার্য প্রফুল্লচন্দ্র রায়ের বাড়িটি উদ্ধার করে পর্যটন কেন্দ্র হিসেবে গড়ে তোলা হবে। গতকাল সন্ধ্যায় খুলনার পাইকগাছা উপজেলার রার্লিতে বিজ্ঞানী আচার্য প্রফুল্লচন্দ্র রায়ের <১৬১তম> জন্মবার্ষিকী উপলক্ষে আয়োজিত আলোচনা সভায় তিনি একথা বলেন। এর আগে পিসি রায়ের প্রতিকৃতিতে মাল্যদান করা হয়। খুলনার জেলা প্রশাসক মোহাম্মদ।","সীমা শার্মিন, বাংলাদেশ টেলিভিশন। সংস্কৃতি বিষয়ক প্রতিমন্ত্রী কেএম খালিদ বলেছেন, বেদখল হয়ে যাওয়া বিশ্বখ্যাত বিজ্ঞানী আচার্য প্রফুল্লচন্দ্র রায়ের বাড়িটি উদ্ধার করে পর্যটন কেন্দ্র হিসেবে গড়ে তোলা হবে। গতকাল সন্ধ্যায় খুলনার পাইকগাছা উপজেলার রারলীতে বিজ্ঞানী আচার্য প্রফুল্লচন্দ্র রায়ের ১৬১তম জন্মবার্ষিকী উপলক্ষে আয়োজিত আলোচনা সভায় তিনি একথা বলেন। এর আগে পিসি রায়ের প্রতিকৃতিতে মাল্যদান করা হয় খুলনার জেলা প্রশাসক মোহাম্মদ মনিরুল ইসলামের নেতৃত্বে অনুষ্ঠানে বিশেষ অতিথি হিসেবে উপস্থিত ছিলেন, বিশিষ্ট সমাজসেবী আব্দুল মজিদ মজুমদার, বিশিষ্ট সাংবাদিক আবু হাসান মাসুদ, বিশিষ্ট সাংবাদিক আবু আহমেদ খান, বিশিষ্ট সাংবাদিক আবু সালেহ আহমেদ, বিশিষ্ট সাংবাদিক আবু সাঈদ খান, বিশিষ্ট সাংবাদিক আবু সাঈদ খান, বিশিষ্ট সাংবাদিক আবু সাঈদ খান, বিশিষ্ট সাংবাদিক আবু সাঈদ খান, বিশিষ্ট সাংবাদিক আবু সাঈদ খান, বিশিষ্ট সাংবাদিক আবু সাঈদ খান, বিশিষ্ট সাংবাদিক আবু সাঈদ খান, বিশিষ্ট সা",1.423728814,1.072727273
1d2c68ee-8c34-47e3-a91e-4c91eb438ed5,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/1d2c68ee-8c34-47e3-a91e-4c91eb438ed5.flac,34.35980988,58,3.2,"পর্যন্ত যখন প্রধানমন্ত্রী হিসেবে দায়িত্ব পালন করেছিলেন, তখনও আমরা দেখেছি যে তিনি কিন্তু ওই কৃষি উৎপাদনের দিকেই মনোনিবেশ করেছিলেন বেশি। কারণ তিনি বুঝেছিলেন যে, যদি আমার গ্রামীণ অর্থনীতিকে আমি চাঙ্গা রাখতে পারি, তাহলে আমার বাংলাদেশের মানুষের খাদ্য সমস্যা দূর হবে। এবং তিনি কিন্তু সেই সময় সেটা সফল হয়েছিলেন। আবার যখন <২০০৯> সালে, <২০০৮> সালের নির্বাচনে বিজয়ী হয়ে <২০০৯> সালে উনি আবার প্রধানমন্ত্রী হিসেবে শপথ গ্রহণ করলেন, তিনি কিন্তু।","এর রিপোর্টার দৈনিক ভোরের কাগজ। এনবিআর রাজা, আপনি শুনতে পাচ্ছেন আমাকে? হ্যাঁ। অনেক ধন্যবাদ। আপনি সংযুক্ত হয়েছেন, যদিও আমি খুব আস্তে শুনতে পাচ্ছি। যে বিষয়টি নিয়ে আসলে আমাদের স্টুডিও অতিথি কুদ্দুস আফরোদের সঙ্গে আমরা আলোচনাটি শুরু করেছিলাম, ট্রেনের টিকিট কাটতে লাগবে এনআইডি। কেবল এনআইডি নয়, এর সাথে হয়তো আরও কিছু বিষয় সংযুক্ত থাকতে পারে। যেমন কিছু শর্তের কথা আমরা শুনতে পাচ্ছিলাম, একজন ব্যক্তি একটি এনআইডি এগেইন্স্ট চারটির বেশি টিকিট কাটতে পারবে না ইত্যাদি ইত্যাদি। ঠিক কবে নাগাদ এটি শুরু হবে? কী কী কন্ডিশনস রয়েছে, এর আগেও এমন একটি উদ্যোগ।",1.294117647,0.9724770642
7b1c6cab-903d-4344-9711-ff4cdf588179,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/7b1c6cab-903d-4344-9711-ff4cdf588179.flac,33.29924774,51,4.4,"নতুন করে আরো <৪৪টি> দেশ এই আইনের আওতায় আনার জন্যে, এই প্রক্রিয়ার আওতায় আনার জন্যে। আসলে সাংবাদিক সাহেব যেটা বললেন, যে যারা বিদেশে থাকে, যখন ওই দেশের নাগরিক হয়, তখন এই দেশের নাগরিকত্ব বাতিল হয়ে যায় এবং সংগত কারণে উত্তরাধিকার সূত্রে তাদের যে সম্পত্তি থাকে, সেই সম্পত্তির অধিকার থেকে তারা বঞ্চিত হন। এক্ষেত্রে তাদের মৌলিক অধিকার থেকে তারা বঞ্চিত হন সরকারের এই সিদ্ধান্তের পরে।","সেখানে স্বস্তি থাকবেন। সেই খবরগুলো আছে আমাদের কাছে সাকিব। জি। আ আ আ আমরা জানি আজ বেশ-- গোটা দিন জুড়ে সকাল থেকেই সেখানে বাইডেন এবং ট্রাম্পের নানা কর্মকাণ্ড। অনেক ধন্যবাদ। আ আ আ হাসানুজ্জামান- আমি সার্টিফিকেটের আশঙ্কার একটি কথা বলতে চাই শুধু। সেটি হচ্ছে যে পুরো এলাকাটিও তো নিরাপত্তার চাদরে ঢেকে দেওয়া হয়েছে। জি। আশঙ্কা করা হয়েছিল হামলার, কিন্তু এখন পর্যন্ত বড় ধরনের কোনো হামলার অপ্রীতিকর খবর আমরা পাইনি। তবে কিছুক্ষণ আগে একটি খবর পেয়েছি যে, এখানকার যে আদালত, সুপ্রিম কোর্ট আছে-",1.265625,0.963060686
